Time, Probe1 ºF, Probe 2 ºF, Probe 3 ºF, Probe 4 ºF
Sep 8  2019  3:54:28 AM,72.2, No Probe, No Probe,238.6
Sep 8  2019  3:54:39 AM,72.5, No Probe, No Probe,238.9
Sep 8  2019  3:54:48 AM,72.7, No Probe, No Probe,239.9
Sep 8  2019  3:54:59 AM,72.8, No Probe, No Probe,240.0
Sep 8  2019  3:55:08 AM,73.0, No Probe, No Probe,240.1
Sep 8  2019  3:55:18 AM,73.2, No Probe, No Probe,240.3
Sep 8  2019  3:55:29 AM,73.6, No Probe, No Probe,240.1
Sep 8  2019  3:55:38 AM,73.9, No Probe, No Probe,239.3
Sep 8  2019  3:55:48 AM,74.0, No Probe, No Probe,239.9
Sep 8  2019  3:55:59 AM,74.1, No Probe, No Probe,239.9
Sep 8  2019  3:56:08 AM,74.0, No Probe, No Probe,239.9
Sep 8  2019  3:56:19 AM,74.1, No Probe, No Probe,240.0
Sep 8  2019  3:56:24 AM,74.5, No Probe, No Probe,240.6
Sep 8  2019  3:56:35 AM,74.9, No Probe, No Probe,239.6
Sep 8  2019  3:56:45 AM,74.8, No Probe, No Probe,239.7
Sep 8  2019  3:56:55 AM,74.8, No Probe, No Probe,240.3
Sep 8  2019  3:57:05 AM,75.1, No Probe, No Probe,239.9
Sep 8  2019  3:57:14 AM,75.5, No Probe, No Probe,239.5
Sep 8  2019  3:57:25 AM,75.3, No Probe, No Probe,239.5
Sep 8  2019  3:57:34 AM,75.5, No Probe, No Probe,240.1
Sep 8  2019  3:57:45 AM,75.9, No Probe, No Probe,240.0
Sep 8  2019  3:57:55 AM,75.9, No Probe, No Probe,239.5
Sep 8  2019  3:58:05 AM,76.4, No Probe, No Probe,239.9
Sep 8  2019  3:58:14 AM,76.0, No Probe, No Probe,239.8
Sep 8  2019  3:58:24 AM,76.6, No Probe, No Probe,239.9
Sep 8  2019  3:58:34 AM,76.7, No Probe, No Probe,239.5
Sep 8  2019  3:58:44 AM,76.9, No Probe, No Probe,239.9
Sep 8  2019  3:58:54 AM,76.9, No Probe, No Probe,240.1
Sep 8  2019  3:59:04 AM,77.3, No Probe, No Probe,239.5
Sep 8  2019  3:59:14 AM,77.1, No Probe, No Probe,240.0
Sep 8  2019  3:59:24 AM,77.6, No Probe, No Probe,240.3
Sep 8  2019  3:59:34 AM,77.7, No Probe, No Probe,239.4
Sep 8  2019  3:59:44 AM,77.7, No Probe, No Probe,239.5
Sep 8  2019  3:59:54 AM,78.0, No Probe, No Probe,239.4
Sep 8  2019  4:00:04 AM,78.4, No Probe, No Probe,239.8
Sep 8  2019  4:00:15 AM,78.3, No Probe, No Probe,239.5
Sep 8  2019  4:00:24 AM,78.2, No Probe, No Probe,239.9
Sep 8  2019  4:00:34 AM,78.7, No Probe, No Probe,239.8
Sep 8  2019  4:00:45 AM,78.8, No Probe, No Probe,240.2
Sep 8  2019  4:00:55 AM,79.2, No Probe, No Probe,239.7
Sep 8  2019  4:01:04 AM,79.1, No Probe, No Probe,239.9
Sep 8  2019  4:01:15 AM,79.2, No Probe, No Probe,240.2
Sep 8  2019  4:01:25 AM,79.8, No Probe, No Probe,239.1
Sep 8  2019  4:01:34 AM,79.7, No Probe, No Probe,239.4
Sep 8  2019  4:01:45 AM,79.7, No Probe, No Probe,240.0
Sep 8  2019  4:01:56 AM,80.3, No Probe, No Probe,239.0
Sep 8  2019  4:02:06 AM,80.4, No Probe, No Probe,239.4
Sep 8  2019  4:02:16 AM,80.1, No Probe, No Probe,239.1
Sep 8  2019  4:02:27 AM,80.7, No Probe, No Probe,239.4
Sep 8  2019  4:02:36 AM,80.7, No Probe, No Probe,239.0
Sep 8  2019  4:02:47 AM,80.8, No Probe, No Probe,239.4
Sep 8  2019  4:02:56 AM,81.2, No Probe, No Probe,239.4
Sep 8  2019  4:03:07 AM,81.0, No Probe, No Probe,239.6
Sep 8  2019  4:03:16 AM,81.5, No Probe, No Probe,239.9
Sep 8  2019  4:03:26 AM,81.3, No Probe, No Probe,240.2
Sep 8  2019  4:03:36 AM,81.4, No Probe, No Probe,239.5
Sep 8  2019  4:03:46 AM,81.5, No Probe, No Probe,239.9
Sep 8  2019  4:03:56 AM,82.1, No Probe, No Probe,239.7
Sep 8  2019  4:04:07 AM,82.2, No Probe, No Probe,239.9
Sep 8  2019  4:04:17 AM,82.6, No Probe, No Probe,240.1
Sep 8  2019  4:04:27 AM,82.4, No Probe, No Probe,239.8
Sep 8  2019  4:04:38 AM,82.6, No Probe, No Probe,239.5
Sep 8  2019  4:04:48 AM,83.0, No Probe, No Probe,239.5
Sep 8  2019  4:04:57 AM,82.9, No Probe, No Probe,240.1
Sep 8  2019  4:05:07 AM,83.3, No Probe, No Probe,239.3
Sep 8  2019  4:05:17 AM,83.4, No Probe, No Probe,240.3
Sep 8  2019  4:05:27 AM,83.7, No Probe, No Probe,240.2
Sep 8  2019  4:05:37 AM,84.0, No Probe, No Probe,239.8
Sep 8  2019  4:05:48 AM,83.6, No Probe, No Probe,240.3
Sep 8  2019  4:05:57 AM,84.0, No Probe, No Probe,239.5
Sep 8  2019  4:06:07 AM,84.4, No Probe, No Probe,239.6
Sep 8  2019  4:06:17 AM,84.7, No Probe, No Probe,240.4
Sep 8  2019  4:06:28 AM,84.7, No Probe, No Probe,239.9
Sep 8  2019  4:06:37 AM,84.5, No Probe, No Probe,239.5
Sep 8  2019  4:06:47 AM,84.7, No Probe, No Probe,240.5
Sep 8  2019  4:06:58 AM,85.1, No Probe, No Probe,239.2
Sep 8  2019  4:07:08 AM,85.0, No Probe, No Probe,239.8
Sep 8  2019  4:07:18 AM,85.5, No Probe, No Probe,239.9
Sep 8  2019  4:07:28 AM,85.3, No Probe, No Probe,240.5
Sep 8  2019  4:07:37 AM,85.9, No Probe, No Probe,239.9
Sep 8  2019  4:07:48 AM,85.6, No Probe, No Probe,239.7
Sep 8  2019  4:07:54 AM,85.8, No Probe, No Probe,240.2
Sep 8  2019  4:08:04 AM,86.4, No Probe, No Probe,240.3
Sep 8  2019  4:08:15 AM,86.2, No Probe, No Probe,239.5
Sep 8  2019  4:08:24 AM,86.2, No Probe, No Probe,239.8
Sep 8  2019  4:08:34 AM,86.7, No Probe, No Probe,240.4
Sep 8  2019  4:08:44 AM,87.1, No Probe, No Probe,239.3
Sep 8  2019  4:08:55 AM,87.1, No Probe, No Probe,239.7
Sep 8  2019  4:09:04 AM,87.1, No Probe, No Probe,240.1
Sep 8  2019  4:09:14 AM,87.3, No Probe, No Probe,239.9
Sep 8  2019  4:09:25 AM,87.2, No Probe, No Probe,239.3
Sep 8  2019  4:09:34 AM,87.6, No Probe, No Probe,240.0
Sep 8  2019  4:09:45 AM,88.0, No Probe, No Probe,239.7
Sep 8  2019  4:09:54 AM,88.3, No Probe, No Probe,239.9
Sep 8  2019  4:10:04 AM,88.3, No Probe, No Probe,239.9
Sep 8  2019  4:10:14 AM,88.0, No Probe, No Probe,239.6
Sep 8  2019  4:10:24 AM,88.7, No Probe, No Probe,240.2
Sep 8  2019  4:10:34 AM,88.7, No Probe, No Probe,239.9
Sep 8  2019  4:10:44 AM,88.6, No Probe, No Probe,240.3
Sep 8  2019  4:10:54 AM,89.2, No Probe, No Probe,239.5
Sep 8  2019  4:11:04 AM,89.0, No Probe, No Probe,239.6
Sep 8  2019  4:11:14 AM,89.1, No Probe, No Probe,240.3
Sep 8  2019  4:11:24 AM,89.7, No Probe, No Probe,239.3
Sep 8  2019  4:11:34 AM,89.4, No Probe, No Probe,239.6
Sep 8  2019  4:11:44 AM,89.6, No Probe, No Probe,239.4
Sep 8  2019  4:11:54 AM,90.0, No Probe, No Probe,240.3
Sep 8  2019  4:12:04 AM,90.4, No Probe, No Probe,240.1
Sep 8  2019  4:12:14 AM,89.9, No Probe, No Probe,239.5
Sep 8  2019  4:12:24 AM,90.6, No Probe, No Probe,240.6
Sep 8  2019  4:12:34 AM,90.8, No Probe, No Probe,239.5
Sep 8  2019  4:12:44 AM,90.5, No Probe, No Probe,239.9
Sep 8  2019  4:12:54 AM,91.0, No Probe, No Probe,240.0
Sep 8  2019  4:13:04 AM,91.0, No Probe, No Probe,239.9
Sep 8  2019  4:13:15 AM,91.0, No Probe, No Probe,239.7
Sep 8  2019  4:13:24 AM,91.7, No Probe, No Probe,240.3
Sep 8  2019  4:13:34 AM,91.4, No Probe, No Probe,239.4
Sep 8  2019  4:13:45 AM,92.1, No Probe, No Probe,240.5
Sep 8  2019  4:13:56 AM,92.0, No Probe, No Probe,239.4
Sep 8  2019  4:14:05 AM,91.9, No Probe, No Probe,239.8
Sep 8  2019  4:14:16 AM,92.4, No Probe, No Probe,240.4
Sep 8  2019  4:14:26 AM,92.9, No Probe, No Probe,239.2
Sep 8  2019  4:14:36 AM,92.8, No Probe, No Probe,239.7
Sep 8  2019  4:14:46 AM,92.6, No Probe, No Probe,239.8
Sep 8  2019  4:14:56 AM,92.9, No Probe, No Probe,240.6
Sep 8  2019  4:15:07 AM,92.9, No Probe, No Probe,239.5
Sep 8  2019  4:15:16 AM,93.3, No Probe, No Probe,239.9
Sep 8  2019  4:15:27 AM,93.7, No Probe, No Probe,240.4
Sep 8  2019  4:15:36 AM,93.7, No Probe, No Probe,238.9
Sep 8  2019  4:15:47 AM,93.7, No Probe, No Probe,239.3
Sep 8  2019  4:15:56 AM,94.4, No Probe, No Probe,239.5
Sep 8  2019  4:16:06 AM,94.6, No Probe, No Probe,240.3
Sep 8  2019  4:16:16 AM,94.3, No Probe, No Probe,240.0
Sep 8  2019  4:16:27 AM,94.5, No Probe, No Probe,239.2
Sep 8  2019  4:16:36 AM,95.1, No Probe, No Probe,240.3
Sep 8  2019  4:16:46 AM,95.3, No Probe, No Probe,239.7
Sep 8  2019  4:16:56 AM,95.4, No Probe, No Probe,239.6
Sep 8  2019  4:17:06 AM,95.5, No Probe, No Probe,240.3
Sep 8  2019  4:17:16 AM,95.4, No Probe, No Probe,239.5
Sep 8  2019  4:17:26 AM,95.5, No Probe, No Probe,238.9
Sep 8  2019  4:17:37 AM,96.4, No Probe, No Probe,239.3
Sep 8  2019  4:17:46 AM,95.9, No Probe, No Probe,239.6
Sep 8  2019  4:17:57 AM,96.4, No Probe, No Probe,240.3
Sep 8  2019  4:18:07 AM,96.7, No Probe, No Probe,239.5
Sep 8  2019  4:18:16 AM,96.4, No Probe, No Probe,239.1
Sep 8  2019  4:18:27 AM,97.1, No Probe, No Probe,239.3
Sep 8  2019  4:18:37 AM,97.2, No Probe, No Probe,238.6
Sep 8  2019  4:18:46 AM,97.4, No Probe, No Probe,238.6
Sep 8  2019  4:18:57 AM,97.7, No Probe, No Probe,238.9
Sep 8  2019  4:19:06 AM,97.7, No Probe, No Probe,239.6
Sep 8  2019  4:19:16 AM,97.5, No Probe, No Probe,239.9
Sep 8  2019  4:19:26 AM,97.8, No Probe, No Probe,239.9
Sep 8  2019  4:19:37 AM,97.8, No Probe, No Probe,239.8
Sep 8  2019  4:19:42 AM,98.5, No Probe, No Probe,239.9
Sep 8  2019  4:19:53 AM,98.4, No Probe, No Probe,240.2
Sep 8  2019  4:20:02 AM,99.2, No Probe, No Probe,239.5
Sep 8  2019  4:20:12 AM,99.4, No Probe, No Probe,239.2
Sep 8  2019  4:20:23 AM,99.5, No Probe, No Probe,239.8
Sep 8  2019  4:20:32 AM,99.7, No Probe, No Probe,240.4
Sep 8  2019  4:20:42 AM,100.0, No Probe, No Probe,240.2
Sep 8  2019  4:20:52 AM,100.1, No Probe, No Probe,239.2
Sep 8  2019  4:21:02 AM,100.3, No Probe, No Probe,239.3
Sep 8  2019  4:21:12 AM,100.6, No Probe, No Probe,239.6
Sep 8  2019  4:21:22 AM,100.6, No Probe, No Probe,239.6
Sep 8  2019  4:21:32 AM,100.9, No Probe, No Probe,240.0
Sep 8  2019  4:21:42 AM,101.1, No Probe, No Probe,240.1
Sep 8  2019  4:21:52 AM,101.2, No Probe, No Probe,239.9
Sep 8  2019  4:22:03 AM,101.5, No Probe, No Probe,239.7
Sep 8  2019  4:22:12 AM,101.6, No Probe, No Probe,239.5
Sep 8  2019  4:22:22 AM,101.7, No Probe, No Probe,239.7
Sep 8  2019  4:22:33 AM,102.0, No Probe, No Probe,239.7
Sep 8  2019  4:22:42 AM,102.1, No Probe, No Probe,239.2
Sep 8  2019  4:22:53 AM,102.4, No Probe, No Probe,239.1
Sep 8  2019  4:23:02 AM,102.5, No Probe, No Probe,238.9
Sep 8  2019  4:23:13 AM,102.7, No Probe, No Probe,239.0
Sep 8  2019  4:23:22 AM,102.9, No Probe, No Probe,239.3
Sep 8  2019  4:23:32 AM,103.2, No Probe, No Probe,239.2
Sep 8  2019  4:23:42 AM,103.2, No Probe, No Probe,239.5
Sep 8  2019  4:23:52 AM,103.5, No Probe, No Probe,239.6
Sep 8  2019  4:24:02 AM,103.7, No Probe, No Probe,239.7
Sep 8  2019  4:24:12 AM,103.8, No Probe, No Probe,239.6
Sep 8  2019  4:24:23 AM,104.0, No Probe, No Probe,239.5
Sep 8  2019  4:24:32 AM,104.2, No Probe, No Probe,240.3
Sep 8  2019  4:24:42 AM,104.5, No Probe, No Probe,240.2
Sep 8  2019  4:24:52 AM,104.5, No Probe, No Probe,239.5
Sep 8  2019  4:25:03 AM,104.7, No Probe, No Probe,239.9
Sep 8  2019  4:25:12 AM,104.9, No Probe, No Probe,240.2
Sep 8  2019  4:25:22 AM,105.1, No Probe, No Probe,239.1
Sep 8  2019  4:25:32 AM,105.3, No Probe, No Probe,239.7
Sep 8  2019  4:25:40 AM,105.4, No Probe, No Probe,239.9
Sep 8  2019  4:25:50 AM,105.6, No Probe, No Probe,240.2
Sep 8  2019  4:26:00 AM,105.8, No Probe, No Probe,239.2
Sep 8  2019  4:26:10 AM,106.0, No Probe, No Probe,239.5
Sep 8  2019  4:26:21 AM,106.2, No Probe, No Probe,239.3
Sep 8  2019  4:26:30 AM,106.3, No Probe, No Probe,239.4
Sep 8  2019  4:26:40 AM,106.6, No Probe, No Probe,239.4
Sep 8  2019  4:26:51 AM,106.5, No Probe, No Probe,239.4
Sep 8  2019  4:27:00 AM,106.8, No Probe, No Probe,239.1
Sep 8  2019  4:27:10 AM,107.1, No Probe, No Probe,238.9
Sep 8  2019  4:27:20 AM,107.2, No Probe, No Probe,238.7
Sep 8  2019  4:27:31 AM,107.4, No Probe, No Probe,238.7
Sep 8  2019  4:27:41 AM,107.5, No Probe, No Probe,238.7
Sep 8  2019  4:27:50 AM,107.8, No Probe, No Probe,238.6
Sep 8  2019  4:28:01 AM,108.0, No Probe, No Probe,238.8
Sep 8  2019  4:28:11 AM,108.1, No Probe, No Probe,239.2
Sep 8  2019  4:28:20 AM,108.3, No Probe, No Probe,239.5
Sep 8  2019  4:28:31 AM,108.5, No Probe, No Probe,240.1
Sep 8  2019  4:28:40 AM,108.8, No Probe, No Probe,239.8
Sep 8  2019  4:28:50 AM,108.9, No Probe, No Probe,240.6
Sep 8  2019  4:29:01 AM,109.1, No Probe, No Probe,239.5
Sep 8  2019  4:29:11 AM,109.3, No Probe, No Probe,239.3
Sep 8  2019  4:29:21 AM,109.5, No Probe, No Probe,239.5
Sep 8  2019  4:29:31 AM,109.5, No Probe, No Probe,239.3
Sep 8  2019  4:29:41 AM,109.8, No Probe, No Probe,239.3
Sep 8  2019  4:29:51 AM,110.0, No Probe, No Probe,239.2
Sep 8  2019  4:30:01 AM,110.0, No Probe, No Probe,239.7
Sep 8  2019  4:30:11 AM,110.4, No Probe, No Probe,239.6
Sep 8  2019  4:30:21 AM,110.5, No Probe, No Probe,239.2
Sep 8  2019  4:30:32 AM,110.7, No Probe, No Probe,240.5
Sep 8  2019  4:30:42 AM,110.9, No Probe, No Probe,240.4
Sep 8  2019  4:30:51 AM,111.0, No Probe, No Probe,239.1
Sep 8  2019  4:31:01 AM,111.4, No Probe, No Probe,239.9
Sep 8  2019  4:31:11 AM,111.4, No Probe, No Probe,240.3
Sep 8  2019  4:31:21 AM,111.7, No Probe, No Probe,240.5
Sep 8  2019  4:31:26 AM,111.7, No Probe, No Probe,239.8
Sep 8  2019  4:31:36 AM,111.8, No Probe, No Probe,239.5
Sep 8  2019  4:31:46 AM,112.0, No Probe, No Probe,240.7
Sep 8  2019  4:31:56 AM,112.3, No Probe, No Probe,241.1
Sep 8  2019  4:32:07 AM,112.5, No Probe, No Probe,240.5
Sep 8  2019  4:32:16 AM,112.6, No Probe, No Probe,239.7
Sep 8  2019  4:32:27 AM,112.9, No Probe, No Probe,240.3
Sep 8  2019  4:32:36 AM,113.0, No Probe, No Probe,240.4
Sep 8  2019  4:32:47 AM,113.2, No Probe, No Probe,239.6
Sep 8  2019  4:32:57 AM,113.4, No Probe, No Probe,239.5
Sep 8  2019  4:33:06 AM,113.5, No Probe, No Probe,239.2
Sep 8  2019  4:33:16 AM,113.8, No Probe, No Probe,239.4
Sep 8  2019  4:33:26 AM,114.0, No Probe, No Probe,239.9
Sep 8  2019  4:33:36 AM,114.2, No Probe, No Probe,239.9
Sep 8  2019  4:33:46 AM,114.4, No Probe, No Probe,239.7
Sep 8  2019  4:33:56 AM,114.5, No Probe, No Probe,240.2
Sep 8  2019  4:34:06 AM,114.7, No Probe, No Probe,239.7
Sep 8  2019  4:34:16 AM,114.9, No Probe, No Probe,239.2
Sep 8  2019  4:34:26 AM,115.1, No Probe, No Probe,239.2
Sep 8  2019  4:34:36 AM,115.1, No Probe, No Probe,239.2
Sep 8  2019  4:34:46 AM,115.4, No Probe, No Probe,239.3
Sep 8  2019  4:34:56 AM,115.6, No Probe, No Probe,239.2
Sep 8  2019  4:35:06 AM,115.8, No Probe, No Probe,239.2
Sep 8  2019  4:35:16 AM,115.9, No Probe, No Probe,239.2
Sep 8  2019  4:35:26 AM,116.2, No Probe, No Probe,239.7
Sep 8  2019  4:35:36 AM,116.3, No Probe, No Probe,239.5
Sep 8  2019  4:35:46 AM,116.5, No Probe, No Probe,240.0
Sep 8  2019  4:35:56 AM,116.6, No Probe, No Probe,239.7
Sep 8  2019  4:36:06 AM,116.8, No Probe, No Probe,240.2
Sep 8  2019  4:36:17 AM,117.0, No Probe, No Probe,240.3
Sep 8  2019  4:36:26 AM,117.3, No Probe, No Probe,239.9
Sep 8  2019  4:36:36 AM,117.5, No Probe, No Probe,239.9
Sep 8  2019  4:36:46 AM,117.6, No Probe, No Probe,240.2
Sep 8  2019  4:36:56 AM,117.8, No Probe, No Probe,240.3
Sep 8  2019  4:37:07 AM,118.1, No Probe, No Probe,239.6
Sep 8  2019  4:37:16 AM,118.1, No Probe, No Probe,239.5
Sep 8  2019  4:37:21 AM,118.3, No Probe, No Probe,240.5
Sep 8  2019  4:37:31 AM,118.5, No Probe, No Probe,241.0
Sep 8  2019  4:37:42 AM,118.7, No Probe, No Probe,240.2
Sep 8  2019  4:37:52 AM,118.8, No Probe, No Probe,239.7
Sep 8  2019  4:38:02 AM,119.0, No Probe, No Probe,239.9
Sep 8  2019  4:38:12 AM,119.1, No Probe, No Probe,239.9
Sep 8  2019  4:38:22 AM,119.3, No Probe, No Probe,240.8
Sep 8  2019  4:38:32 AM,119.5, No Probe, No Probe,240.1
Sep 8  2019  4:38:42 AM,119.6, No Probe, No Probe,239.6
Sep 8  2019  4:38:52 AM,119.8, No Probe, No Probe,239.6
Sep 8  2019  4:39:02 AM,120.1, No Probe, No Probe,239.8
Sep 8  2019  4:39:12 AM,120.2, No Probe, No Probe,239.3
Sep 8  2019  4:39:22 AM,120.3, No Probe, No Probe,238.6
Sep 8  2019  4:39:32 AM,120.5, No Probe, No Probe,237.7
Sep 8  2019  4:39:43 AM,120.7, No Probe, No Probe,236.4
Sep 8  2019  4:39:52 AM,120.9, No Probe, No Probe,235.0
Sep 8  2019  4:40:02 AM,121.0, No Probe, No Probe,233.8
Sep 8  2019  4:40:12 AM,121.2, No Probe, No Probe,233.8
Sep 8  2019  4:40:23 AM,121.3, No Probe, No Probe,233.2
Sep 8  2019  4:40:32 AM,121.5, No Probe, No Probe,232.7
Sep 8  2019  4:40:42 AM,121.7, No Probe, No Probe,231.9
Sep 8  2019  4:40:52 AM,121.9, No Probe, No Probe,231.7
Sep 8  2019  4:41:02 AM,122.0, No Probe, No Probe,231.2
Sep 8  2019  4:41:12 AM,122.2, No Probe, No Probe,230.1
Sep 8  2019  4:41:22 AM,122.3, No Probe, No Probe,229.9
Sep 8  2019  4:41:32 AM,122.6, No Probe, No Probe,230.3
Sep 8  2019  4:41:42 AM,122.6, No Probe, No Probe,229.7
Sep 8  2019  4:41:53 AM,122.8, No Probe, No Probe,229.9
Sep 8  2019  4:42:02 AM,123.0, No Probe, No Probe,230.8
Sep 8  2019  4:42:12 AM,123.2, No Probe, No Probe,230.4
Sep 8  2019  4:42:22 AM,123.2, No Probe, No Probe,229.1
Sep 8  2019  4:42:32 AM,123.4, No Probe, No Probe,228.7
Sep 8  2019  4:42:43 AM,123.6, No Probe, No Probe,227.8
Sep 8  2019  4:42:52 AM,123.7, No Probe, No Probe,227.3
Sep 8  2019  4:43:02 AM,123.9, No Probe, No Probe,226.7
Sep 8  2019  4:43:12 AM,124.0, No Probe, No Probe,226.3
Sep 8  2019  4:43:24 AM,124.3, No Probe, No Probe,226.6
Sep 8  2019  4:43:34 AM,124.4, No Probe, No Probe,225.9
Sep 8  2019  4:43:44 AM,124.5, No Probe, No Probe,225.7
Sep 8  2019  4:43:54 AM,124.7, No Probe, No Probe,225.3
Sep 8  2019  4:44:04 AM,124.8, No Probe, No Probe,224.4
Sep 8  2019  4:44:14 AM,125.0, No Probe, No Probe,224.3
Sep 8  2019  4:44:24 AM,125.2, No Probe, No Probe,224.3
Sep 8  2019  4:44:34 AM,125.3, No Probe, No Probe,224.2
Sep 8  2019  4:44:44 AM,125.4, No Probe, No Probe,223.5
Sep 8  2019  4:44:54 AM,125.6, No Probe, No Probe,223.3
Sep 8  2019  4:45:04 AM,125.7, No Probe, No Probe,223.3
Sep 8  2019  4:45:15 AM,125.9, No Probe, No Probe,223.1
Sep 8  2019  4:45:24 AM,126.0, No Probe, No Probe,223.2
Sep 8  2019  4:45:35 AM,126.2, No Probe, No Probe,224.0
Sep 8  2019  4:45:44 AM,126.3, No Probe, No Probe,224.8
Sep 8  2019  4:45:54 AM,126.5, No Probe, No Probe,226.1
Sep 8  2019  4:46:04 AM,126.6, No Probe, No Probe,225.4
Sep 8  2019  4:46:14 AM,126.8, No Probe, No Probe,224.9
Sep 8  2019  4:46:25 AM,127.0, No Probe, No Probe,224.7
Sep 8  2019  4:46:35 AM,127.0, No Probe, No Probe,224.9
Sep 8  2019  4:46:44 AM,127.2, No Probe, No Probe,225.0
Sep 8  2019  4:46:55 AM,127.3, No Probe, No Probe,227.0
Sep 8  2019  4:47:05 AM,127.5, No Probe, No Probe,228.0
Sep 8  2019  4:47:15 AM,127.7, No Probe, No Probe,230.0
Sep 8  2019  4:47:25 AM,127.7, No Probe, No Probe,231.8
Sep 8  2019  4:47:34 AM,127.9, No Probe, No Probe,232.5
Sep 8  2019  4:47:44 AM,128.0, No Probe, No Probe,233.0
Sep 8  2019  4:47:55 AM,128.2, No Probe, No Probe,234.1
Sep 8  2019  4:48:05 AM,128.2, No Probe, No Probe,234.5
Sep 8  2019  4:48:15 AM,128.4, No Probe, No Probe,234.9
Sep 8  2019  4:48:25 AM,128.5, No Probe, No Probe,235.0
Sep 8  2019  4:48:35 AM,128.6, No Probe, No Probe,235.7
Sep 8  2019  4:48:45 AM,128.8, No Probe, No Probe,236.5
Sep 8  2019  4:48:54 AM,129.0, No Probe, No Probe,237.5
Sep 8  2019  4:49:05 AM,129.2, No Probe, No Probe,238.6
Sep 8  2019  4:49:16 AM,129.3, No Probe, No Probe,239.7
Sep 8  2019  4:49:27 AM,129.4, No Probe, No Probe,241.2
Sep 8  2019  4:49:36 AM,129.5, No Probe, No Probe,240.4
Sep 8  2019  4:49:46 AM,129.5, No Probe, No Probe,239.0
Sep 8  2019  4:49:56 AM,129.8, No Probe, No Probe,240.6
Sep 8  2019  4:50:07 AM,129.8, No Probe, No Probe,241.4
Sep 8  2019  4:50:17 AM,129.9, No Probe, No Probe,240.7
Sep 8  2019  4:50:26 AM,130.1, No Probe, No Probe,240.5
Sep 8  2019  4:50:36 AM,130.2, No Probe, No Probe,240.2
Sep 8  2019  4:50:47 AM,130.3, No Probe, No Probe,240.6
Sep 8  2019  4:50:57 AM,130.4, No Probe, No Probe,240.5
